doc_id,applicable_model,category,title,content_chunk
KB-001,MAZAK-H800,手册,主轴维护手册-轴承部分,主轴轴承更换标准：当振动值超过7.0mm/s或温度超过80℃时，需要检查轴承状态。正常维护周期为5000小时。轴承型号：NSK-7014。更换时需注意保持架方向，确保润滑充分。
KB-002,MAZAK-H800,手册,主轴维护手册-温度控制,主轴温度正常范围：50-70℃。超过70℃需要检查冷却系统。冷却液应每6个月更换一次。冷却泵流量不应低于额定值的80%。
KB-003,MAZAK-H800,案例,轴承故障处理案例-保持架断裂,案例：某设备出现3000转啸叫，检查发现保持架断裂。处理：立即停机，更换NSK-7014轴承，检查润滑系统。预防措施：定期检查轴承状态，确保润滑充分。
KB-004,MAZAK-H800,案例,振动异常处理案例-不平衡,案例：主轴X轴方向振动值达到5.2mm/s，存在不平衡问题。处理：进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。预防措施：定期进行动平衡检查。
KB-005,ATLAS-GA75,标准,空压机运行标准-压力,空压机排气压力正常范围：0.6-0.9MPa。压力波动不应超过±0.05MPa。压力过高会导致能耗增加，压力过低影响用气设备。
KB-006,ATLAS-GA75,标准,空压机运行标准-温度,空压机排气温度不应超过110℃。正常范围：85-100℃。温度过高会导致润滑油失效，加速磨损。冷却器应定期清洗。
KB-007,ATLAS-GA75,案例,压力波动处理案例,案例：排气压力在0.85-0.92MPa之间波动，超出正常范围。处理：更换空气过滤器，清洗压力阀。检查管路密封性，紧固连接。预防措施：定期更换过滤器，检查管路。
KB-008,MAZAK-H800,标准,振动监测标准,主轴振动监测标准：正常值<4.5mm/s，警告值4.5-7.0mm/s，临界值>7.0mm/s。振动监测应在加工状态下进行，不同转速下阈值不同。
KB-009,MAZAK-H800,手册,润滑系统维护,润滑系统压力正常范围：2.0-3.0MPa。压力低于2.0MPa需要检查润滑泵和过滤器。润滑脂应每3000小时更换一次。
KB-010,HAAS-VF2,手册,冷却系统维护,冷却液温度正常范围：20-28℃。流量不应低于7.0L/min。冷却液应每6个月更换一次。定期清洗冷却系统。
